route_id,agency_id,trip_id,trip_origin,origin_departure_time,trip_headsign,destination_arrival_time,trip_short_name,direction_id,version,countries,is_active,irregularities,service_id,classes,connections,catering,plugs,wheelchair_accessible,bikes_allowed,car_transport,duration,distance,emissions_co2e,co2_per_km,via,_c26,_c27,_c28,_c29,_c30,_c31,_c32,_c33,_c34,_c35,_c36,_c37,_c38,_c39,_c40,_c41,_c42,_c43,_c44,_c45,_c46,_c47,_c48,Merged Doc ID - ONTD_Chatbase_Export,Merged Doc URL - ONTD_Chatbase_Export,Link to merged Doc - ONTD_Chatbase_Export,Document Merge Status - ONTD_Chatbase_Export,_c53,_c54,_c55,_c56
85,FS,FS IC Notte 1962,Siracusa,2026-03-16 13:35:00,Milano Centrale,2026-03-16 10:10:00,IC Notte 1962,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,20:35:00,1380.0,29.3,21.23,Catania Centrale - Taormina Giardini - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale,Catania Centrale,Taormina Giardini,Messina Centrale,Lamezia Terme Centrale,Salerno,Firenze S. M. N.,Bologna Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
85,FS,FS IC Notte 1963,Milano Centrale,2026-03-16 20:10:00,Siracusa,2026-03-16 15:48:00,IC Notte 1963,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,19:38:00,1380.0,29.3,21.23,Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Taormina Giardini - Catania Centrale,Bologna Centrale,Firenze S. M. N.,Salerno,Lamezia Terme Centrale,Messina Centrale,Taormina Giardini,Catania Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
84,FS,FS IC Notte 1964,Palermo Centrale,2026-03-16 12:58:00,Milano Centrale,2026-03-16 10:10:00,IC Notte 1964,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,21:12:00,1427.0,30.5,21.37,Termini Imerese - Barcellona Castroreale - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale,Termini Imerese,Barcellona Castroreale,Messina Centrale,Lamezia Terme Centrale,Salerno,Firenze S. M. N.,Bologna Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
84,FS,FS IC Notte 1967,Milano Centrale,2026-03-16 20:10:00,Palermo Centrale,2026-03-16 16:55:00,IC Notte 1967,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,20:45:00,1427.0,30.5,21.37,Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Barcellona Castroreale - Termini Imerese,Bologna Centrale,Firenze S. M. N.,Salerno,Lamezia Terme Centrale,Messina Centrale,Barcellona Castroreale,Termini Imerese,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
86,FS,FS IC Notte 752,Lecce,2026-03-16 19:50:00,Milano Centrale,2026-03-16 07:12:00,IC Notte 752,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,11:22:00,1032.0,20.8,20.16,Brindisi - Bari Centrale - Foggia - Bologna Centrale,Brindisi,Bari Centrale,Foggia,Bologna Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
86,FS,FS IC Notte 755,Milano Centrale,2026-03-16 21:50:00,Lecce,2026-03-16 09:30:00,IC Notte 755,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,11:40:00,1032.0,20.8,20.16,Bologna Centrale - Foggia - Bari Centrale - Brindisi,Bologna Centrale,Foggia,Bari Centrale,Brindisi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
97,FS,FS IC Notte 754,Lecce,2026-03-16 20:25:00,Torino Lingotto,2026-03-16 09:15:00,IC Notte 754,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,12:50:00,1147.0,23.0,20.05,Brindisi - Bari Centrale - Foggia - Bologna Centrale,Brindisi,Bari Centrale,Foggia,Bologna Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
97,FS,FS IC Notte 757,Torino Lingotto,2026-03-16 20:58:00,Lecce,2026-03-16 10:10:00,IC Notte 757,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,13:12:00,1147.0,23.0,20.05,Bologna Centrale - Foggia - Bari Centrale - Brindisi,Bologna Centrale,Foggia,Bari Centrale,Brindisi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
76,FS,FS IC Notte 758,Lecce,2026-03-16 18:31:00,Milano Centrale,2026-03-16 07:05:00,IC Notte 758,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,12:34:00,1092.0,22.1,20.24,Brindisi - Taranto - Bari Centrale - Foggia - Bologna Centrale,Brindisi,Taranto,Bari Centrale,Foggia,Bologna Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
76,FS,FS IC Notte 765,Milano Centrale,2026-03-16 21:15:00,Bari Centrale,2026-03-16 07:00:00,IC Notte 765,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,9:45:00,1092.0,22.1,20.24,Bologna Centrale - Foggia,Bologna Centrale,Foggia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
106,FS,FS IC Notte 763,Bolzano / Bozen,2026-03-16 21:30:00,Roma Termini,2026-03-16 06:06:00,IC Notte 763,0,,IT,Y,,"Sat, Sun","seat, couchette, sleeper",,0.0,,,,2.0,8:36:00,631.0,12.5,19.81,Verona Porta Nuova - Orvieto,Verona Porta Nuova,Orvieto,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
106,FS,FS IC Notte 764,Roma Termini,2026-03-16 22:05:00,Bolzano / Bozen,2026-03-16 06:28:00,IC Notte 764,1,,IT,Y,,"Fri, Sat","seat, couchette, sleeper",,0.0,,,,2.0,8:23:00,631.0,12.5,19.81,Orvieto - Verona Porta Nuova,Orvieto,Verona Porta Nuova,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
105,FS,FS IC Notte 770,Trieste Centrale,2026-03-16 19:11:00,Roma Termini,2026-03-16 06:35:00,IC Notte 770,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,11:24:00,711.0,15.3,21.52,Udine - Venezia Santa Lucia - Bologna Centrale,Udine,Venezia Santa Lucia,Bologna Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
105,FS,FS IC Notte 774,Roma Termini,2026-03-16 22:35:00,Trieste Centrale,2026-03-16 09:55:00,IC Notte 774,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,11:20:00,711.0,15.3,21.52,Venezia Santa Lucia - Udine,Venezia Santa Lucia,Udine,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
96,FS,FS IC Notte 788,Lecce,2026-03-16 22:15:00,Roma Termini,2026-03-16 06:10:00,IC Notte 788,0,,IT,Y,,Sun,"seat, couchette, sleeper",,0.0,,,,2.0,7:55:00,647.0,12.7,19.63,Brindisi - Bari Centrale,Brindisi,Bari Centrale,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
96,FS,FS IC Notte 789,Roma Termini,2026-03-16 23:58:00,Lecce,2026-03-16 08:10:00,IC Notte 789,1,,IT,Y,,Fri,"seat, couchette, sleeper",,0.0,,,,2.0,8:12:00,647.0,12.7,19.63,Bari Centrale - Brindisi,Bari Centrale,Brindisi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
100,FS,FS IC Notte 794,Reggio Calabria Centrale,2026-03-16 21:43:00,Torino Lingotto,2026-03-16 14:32:00,IC Notte 794,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,16:49:00,1358.0,25.7,18.92,Tropea - Lamezia Terme Centrale - Roma Ostiense - Civitavecchia - Grosseto - Livorno Centrale - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe,Tropea,Lamezia Terme Centrale,Roma Ostiense,Civitavecchia,Grosseto,Livorno Centrale,Pisa Centrale,La Spezia Centrale,Genova Piazza Principe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
100,FS,FS IC Notte 795,Torino Lingotto,2026-03-16 15:29:00,Reggio Calabria Centrale,2026-03-16 08:45:00,IC Notte 795,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,17:16:00,1358.0,25.7,18.92,Genova Piazza Principe - La Spezia Centrale - Pisa Centrale - Livorno Centrale - Grosseto - Civitavecchia - Roma Ostiense - Lamezia Terme Centrale - Tropea,Genova Piazza Principe,La Spezia Centrale,Pisa Centrale,Livorno Centrale,Grosseto,Civitavecchia,Roma Ostiense,Lamezia Terme Centrale,Tropea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
99,FS,FS IC Notte 796,Salerno,2026-03-16 20:52:00,Torino Lingotto,2026-03-16 10:32:00,IC Notte 796,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,13:40:00,962.0,17.9,18.61,Napoli Centrale - Roma Tiburtina - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe,Napoli Centrale,Roma Tiburtina,Pisa Centrale,La Spezia Centrale,Genova Piazza Principe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
99,FS,FS IC Notte 1515,Torino Lingotto,2026-03-16 20:23:00,Salerno,2026-03-16 09:11:00,IC Notte 1515,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,12:48:00,962.0,17.9,18.61,Genova Piazza Principe - La Spezia Centrale - Pisa Centrale - Civitavecchia - Roma Ostiense - Baqël,Genova Piazza Principe,La Spezia Centrale,Pisa Centrale,Civitavecchia,Roma Ostiense,Baqël,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
83,FS,FS IC Notte 797,Torino Porta Susa,2026-03-16 20:40:00,Salerno,2026-03-16 09:46:00,IC Notte 797,0,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,13:06:00,1009.0,20.3,20.12,Milano Porta Garibaldi - Roma Tiburtina - Baqël,Milano Porta Garibaldi,Roma Tiburtina,Baqël,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
83,FS,FS IC Notte 798,Salerno,2026-03-16 20:38:00,Torino Porta Susa,2026-03-16 09:05:00,IC Notte 798,1,,IT,Y,,Daily,"seat, couchette, sleeper",,0.0,,,,2.0,12:27:00,1009.0,20.3,20.12,Baqël - Roma Tiburtina - Orvieto - Milano Porta Garibaldi,Baqël,Roma Tiburtina,Orvieto,Milano Porta Garibaldi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
65,GA,GA F5 725,Oslo S,2026-03-16 22:25:00,Stavanger,2026-03-16 07:20:00,F5 725,0,,NO,Y,,2024: Daily except Sat,"seat, couchette, sleeper",,3.0,,,,2.0,8:55:00,588.0,0.18,0.31,Drammen - Kongsberg - Sandnes,Drammen,Kongsberg,Sandnes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
65,GA,GA F5 726,Stavanger,2026-03-16 22:15:00,Oslo S,2026-03-16 07:26:00,F5 726,1,,NO,Y,,2024: Daily except Sat,"seat, couchette, sleeper",,3.0,,,,2.0,9:11:00,588.0,0.18,0.31,Sandnes - Kongsberg - Drammen,Sandnes,Kongsberg,Drammen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
42,GWR,GWR Sleeper (Penzance),London Paddington,2026-03-16 23:45:00,Penzance,2026-03-16 07:50:00,Sleeper (Penzance),0,,GB,Y,,"2026: Daily, except Saturday","seat, sleeper",,3.0,,,,2.0,8:05:00,489.0,10.0,20.45,Reading - Plymouth,Reading,Plymouth,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
42,GWR,GWR Sleeper (London),Penzance,2026-03-16 21:45:00,London Paddington,2026-03-16 05:08:00,Sleeper (London),1,,GB,Y,Departs 30 minutes earlier on Sundays,"2026: Daily, except Saturday","seat, sleeper",,3.0,,,,2.0,7:23:00,489.0,10.0,20.45,Plymouth - Reading,Plymouth,Reading,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
3,HŽPP,HŽPP 1820,Split,2026-03-16 21:11:00,Zagreb Gl. K.,2026-03-16 05:49:00,1820,0,,HR,Y,,Sun (Oct-Jun),"seat, couchette, sleeper",,2.0,1.0,,,2.0,8:38:00,424.0,11.6,27.36,Knin - Karlovac,Knin,Karlovac,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
3,HŽPP,HŽPP 1821,Zagreb Gl. K.,2026-03-16 22:30:00,Split,2026-03-16 07:01:00,1821,1,,HR,Y,,Fri (Oct-Jun),"seat, couchette, sleeper",,2.0,1.0,2.0,1.0,2.0,8:31:00,424.0,11.6,27.36,Karlovac - Knin,Karlovac,Knin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
47,HŽPP,HŽPP 1840,Vukovar,2026-03-16 16:57:00,Split,2026-03-16 06:51:00,1840,0,,HR,Y,,Daily (Jul-Aug),"seat, couchette, sleeper",,2.0,1.0,2.0,1.0,2.0,13:54:00,700.0,6.5,9.29,Slavonski Brod - Zagreb Gl. K. - Karlovac - Knin,Slavonski Brod,Zagreb Gl. K.,Karlovac,Knin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14,https://docs.google.com/document/d/1GWLuutv4VN3px7uay2iCJEiNza9dApi5k5JUPCHid14/edit?usp=drivesdk,ONTD_Chatbase_export_05/02/2025_May 2 2025 8:03 PM,Data merged and appended successfully; Manually run by jme@wegewerk.com; Timestamp: May 2 2025 4:08 PM,,,,
