origin,destination,airport_origin_name,airport_dest_name,origin_city,destination_city,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Amboise,Gare de Pornichet,Amboise Dierre Airfield,La Baule-Escoublac Airport,Gare de Amboise,Gare de Pornichet,Avion,47.339771,0.945861,47.289398,-2.34639,248.23800373562744,100.0455096013167,,,airports,OurAirports
Gare de Ancenis,Gare de Saint-Pierre-des-Corps,Ancenis Airfield,Tours Val de Loire Airport,Gare de Ancenis,Gare de Saint-Pierre-des-Corps,Avion,47.4081,-1.1775,47.432201,0.727606,143.35475138436018,91.9671207155806,,,airports,OurAirports
Gare de Brest,Gare de Montauban-de-Bretagne,Brest Bretagne airport,Queneleuc Airfield,Gare de Brest,Gare de Montauban-de-Bretagne,Avion,48.447899,-4.41854,48.098333,-2.076389,177.63753712332235,113.96073490746774,,,airports,OurAirports
Gare de Chartres,Gare de Le Mans,Chartres-Métropole Airfield,Le Mans-Arnage Airport,Gare de Chartres,Gare de Le Mans,Avion,48.457502,1.519843,47.948604,0.201702,112.89169088504315,72.42399476229339,,,airports,OurAirports
Gare de Coutances,Gare de Pontchaillou,Lessay Airfield,Rennes-Saint-Jacques Airport,Gare de Coutances,Gare de Pontchaillou,Avion,49.202276,-1.507983,48.0695,-1.73479,127.05658843460066,81.51127530433276,,,airports,OurAirports
Gare de Douai,Gare de Morgny,Vitry-en-Artois Airfield,Rouen Vallée de Seine Airport,Gare de Douai,Gare de Morgny,Avion,50.337883,2.990714,49.384887,1.179142,167.59665206244057,107.51915358862121,,,airports,OurAirports
Gare de Frénouville - Cagny,Gare de Évreux Normandie,Rouvres Airfield,Évreux-Fauville (BA 105) Air Base,Gare de Frénouville - Cagny,Gare de Évreux Normandie,Avion,49.02,-0.198333,49.028702,1.21986,103.41022789965594,66.34130240283702,,,airports,OurAirports
Gare de Hennebont,Gare de Nantes,Lorient South Brittany (Bretagne Sud) Airport,Nantes Atlantique Airport,Gare de Hennebont,Gare de Nantes,Avion,47.760601,-3.44,47.153198,-1.61073,153.21527576279365,98.29299430590828,,,airports,OurAirports
Gare de La Baule les Pins,Gare de Orléans,La Baule-Escoublac Airport,Mardié Airfield,Gare de La Baule les Pins,Gare de Orléans,Avion,47.289398,-2.34639,47.903611,2.067778,337.9140180492338,108.12201520054764,,,airports,OurAirports
Gare de La Suze,Gare de Savenay,Le Mans-Arnage Airport,Campbon La Berthelière Airfield,Gare de La Suze,Gare de Savenay,Avion,47.948604,0.201702,47.420833,-2.011944,175.7850065229802,112.77227129739754,,,airports,OurAirports
Gare de Langeais,Gare de Ancenis,Hommes Volants Ultralight Airfield,Ancenis Airfield,Gare de Langeais,Gare de Ancenis,Avion,47.418534,0.323495,47.4081,-1.1775,112.94829893483406,72.46031081947545,,,airports,OurAirports
Gare de Langeais,Gare de Pouzauges,Hommes Volants Ultralight Airfield,Breuil Barret Airfield,Gare de Langeais,Gare de Pouzauges,Avion,47.418534,0.323495,46.660556,-0.663611,112.68764650026215,72.29309310479492,,,airports,OurAirports
Gare de Laval,Gare de Pornichet,Laval-Entrammes Airport,La Baule-Escoublac Airport,Gare de Laval,Gare de Pornichet,Avion,48.032208,-0.743999,47.289398,-2.34639,145.67844094811258,93.45784939078281,,,airports,OurAirports
Gare de Maintenon,Gare de Champagné,Les Ailes d'Eure et Loir Airfield,Le Mans-Arnage Airport,Gare de Maintenon,Gare de Champagné,Avion,48.59244,1.53759,47.948604,0.201702,122.0673885892981,78.31052792752028,,,airports,OurAirports
Gare de Morannes,Gare de Saint-Nazaire,Solib'Ailes Airfield,Saint-Nazaire-Montoir Airport,Gare de Morannes,Gare de Saint-Nazaire,Avion,47.7775,-0.514167,47.31142,-2.152634,133.45143369848344,85.61379371172144,,,airports,OurAirports
Gare de Nantes,Gare de Quimper,Nantes Atlantique Airport,Quimper-Cornouaille Airport,Gare de Nantes,Gare de Quimper,Avion,47.153198,-1.61073,47.973031,-4.169655,212.52879991746386,85.65389574814454,,,airports,OurAirports
Gare de Orléans,Gare de Angers Saint-Laud,Mardié Airfield,Soulaire Airfield,Gare de Orléans,Gare de Angers Saint-Laud,Avion,47.903611,2.067778,47.565556,-0.549722,199.31820687103752,80.32972904692946,,,airports,OurAirports
Gare de Paris Saint-Lazare,Gare de Caen,Paris-Le Bourget International Airport,Caen Carpiquet airport,Gare de Paris Saint-Lazare,Gare de Caen,Avion,48.962276,2.436539,49.17678,-0.454883,211.96874819850595,85.42818228452069,,,airports,OurAirports
Gare de Plouaret Trégor,Gare de Quédillac,Lannion Airport,Queneleuc Airfield,Gare de Plouaret Trégor,Gare de Quédillac,Avion,48.754398,-3.47166,48.098333,-2.076389,126.1756363820004,80.94611354315123,,,airports,OurAirports
Gare de Port Boulet,Gare de Savenay,Aérodrome de Saumur - Saint-Florent,Campbon La Berthelière Airfield,Gare de Port Boulet,Gare de Savenay,Avion,47.256802,-0.115142,47.420833,-2.011944,144.0841985551669,92.43508676041264,,,airports,OurAirports
Gare de Quimperlé,Gare de Savenay,Mellac Ultralight Airfield,Campbon La Berthelière Airfield,Gare de Quimperlé,Gare de Savenay,Avion,47.912079,-3.565698,47.420833,-2.011944,128.53200806053414,82.45780894576437,,,airports,OurAirports
Gare de Saint-Lô,Gare de Rennes,Mosles Airfield,Rennes-Saint-Jacques Airport,Gare de Saint-Lô,Gare de Rennes,Avion,49.30083,-0.81183,48.0695,-1.73479,152.7620805551328,98.00225362261612,,,airports,OurAirports
Gare de Tours,Gare de Pouzauges,Tours Val de Loire Airport,Breuil Barret Airfield,Gare de Tours,Gare de Pouzauges,Avion,47.432201,0.727606,46.660556,-0.663611,135.9139115051229,87.1935599316457,,,airports,OurAirports
Gare de Villedieu-les-Poêles,Gare de Paris Montparnasse Vaugirard,Avranches Le Val-Saint-Père Airfield,Vélizy-Villacoublay Air Base,Gare de Villedieu-les-Poêles,Gare de Paris Montparnasse Vaugirard,Avion,48.662255,-1.403685,48.774406,2.203102,264.870347317691,106.74871887826482,,,airports,OurAirports
Gare de Vire,Gare de Paris Montparnasse Hall 1 - 2,Aérodrome de Flers Saint-Paul,Vélizy-Villacoublay Air Base,Gare de Vire,Gare de Paris Montparnasse Hall 1 - 2,Avion,48.749964,-0.593927,48.774406,2.203102,205.0234859119462,82.62908507008417,,,airports,OurAirports
Gare de Étriché - Châteauneuf,Gare de Le Croisic,Aérodrome privé de Soucelles,La Baule-Escoublac Airport,Gare de Étriché - Châteauneuf,Gare de Le Croisic,Avion,47.580399,-0.412269,47.289398,-2.34639,149.02635201568273,95.6056522248216,,,airports,OurAirports
Gare de Évreux Normandie,Gare de Valognes,Évreux-Fauville (BA 105) Air Base,Cherbourg Manche airport,Gare de Évreux Normandie,Gare de Valognes,Avion,49.028702,1.21986,49.650101,-1.47028,206.77721574712803,83.33587771433479,,,airports,OurAirports
Gare de Albert,Gare de Rouen Rive Droite,La Boisselle Airfield,Rouen Vallée de Seine Airport,Gare de Albert,Gare de Rouen Rive Droite,Avion,50.015803,2.688594,49.384887,1.179142,129.25029768056874,82.91861702890458,,,airports,OurAirports
Gare de Angers Maître École,Gare de Le Croisic,Soulaire Airfield,La Baule-Escoublac Airport,Gare de Angers Maître École,Gare de Le Croisic,Avion,47.565556,-0.549722,47.289398,-2.34639,138.5969382144863,88.91481603847376,,,airports,OurAirports
Gare de Angers Maître École,Gare de Saint-Nazaire,Soulaire Airfield,Saint-Nazaire-Montoir Airport,Gare de Angers Maître École,Gare de Saint-Nazaire,Avion,47.565556,-0.549722,47.31142,-2.152634,123.82045789855806,79.43518361720312,,,airports,OurAirports
Gare de Argentan,Gare de Saint-Pierre-des-Corps,Argentan Airfield,Tours Val de Loire Airport,Gare de Argentan,Gare de Saint-Pierre-des-Corps,Avion,48.709456,0.002856,47.432201,0.727606,151.88860361248982,97.44188740768026,,,airports,OurAirports
Gare de Bretteville - Norrey,Gare de Dol-de-Bretagne,Caen Carpiquet airport,Le Haut des Places Airfield,Gare de Bretteville - Norrey,Gare de Dol-de-Bretagne,Avion,49.17678,-0.454883,48.474167,-1.591111,114.11361814716966,73.20790412655536,,,airports,OurAirports
Gare de Caen,Gare de Montbizot,Caen Carpiquet airport,Assé le Riboul Airfield,Gare de Caen,Gare de Montbizot,Avion,49.17678,-0.454883,48.195278,0.099444,116.47662229890472,74.72385449426494,,,airports,OurAirports
Gare de Connerré - Beillé,Gare de Versailles Chantiers,Champ-Romet Airfield,Saint-Cyr-l'École Airport,Gare de Connerré - Beillé,Gare de Versailles Chantiers,Avion,48.298611,0.453056,48.812459,2.067533,131.84419929942018,84.58269625196182,,,airports,OurAirports
Gare de Courville-sur-Eure,Gare de Noyen,Loulappe Airfield,La Flèche-Thorée-les-Pins Airfield,Gare de Courville-sur-Eure,Gare de Noyen,Avion,48.438333,1.274444,47.69261,-0.002198,125.99479833980982,80.83009957154925,,,airports,OurAirports
Gare de Coutances,Gare de Rennes,Lessay Airfield,Rennes-Saint-Jacques Airport,Gare de Coutances,Gare de Rennes,Avion,49.202276,-1.507983,48.0695,-1.73479,127.05658843460066,81.51127530433276,,,airports,OurAirports
Gare de Dol-de-Bretagne,Gare de Bayeux,Le Haut des Places Airfield,Mosles Airfield,Gare de Dol-de-Bretagne,Gare de Bayeux,Avion,48.474167,-1.591111,49.30083,-0.81183,108.14580093927046,69.37933925327931,,,airports,OurAirports
Gare de La Baule-Escoublac,Gare de Saumur,La Baule-Escoublac Airport,Aérodrome de Saumur - Saint-Florent,Gare de La Baule-Escoublac,Gare de Saumur,Avion,47.289398,-2.34639,47.256802,-0.115142,168.37261114321973,108.0169586614439,,,airports,OurAirports
Gare de La Rochelle,Gare de Nantes,La Rochelle Île de Ré Airport,Nantes Atlantique Airport,Gare de La Rochelle,Gare de Nantes,Avion,46.179199,-1.19528,47.153198,-1.61073,112.84768795883267,72.39576533573056,,,airports,OurAirports
Gare de Landerneau,Gare de Rennes,Landivisiau Air Base,Rennes-Saint-Jacques Airport,Gare de Landerneau,Gare de Rennes,Avion,48.5303,-4.15164,48.0695,-1.73479,185.96383602226268,119.30234883067666,,,airports,OurAirports
Gare de Landivisiau,Gare de Rennes,Landivisiau Air Base,Rennes-Saint-Jacques Airport,Gare de Landivisiau,Gare de Rennes,Avion,48.5303,-4.15164,48.0695,-1.73479,185.96383602226268,119.30234883067666,,,airports,OurAirports
Gare de Le Mans,Gare de Le Pouliguen,Le Mans-Arnage Airport,La Baule-Escoublac Airport,Gare de Le Mans,Gare de Le Pouliguen,Avion,47.948604,0.201702,47.289398,-2.34639,204.55488417657855,82.4402280106919,,,airports,OurAirports
Gare de Le Theil - La Rouge,Gare de Versailles Chantiers,BELLEME St Germain de la Coudr Airfield,Saint-Cyr-l'École Airport,Gare de Le Theil - La Rouge,Gare de Versailles Chantiers,Avion,48.300556,0.581111,48.812459,2.067533,123.31680112880906,79.11207006501584,,,airports,OurAirports
Gare de Lille Flandres,Gare de Longuerue - Vieux-Manoir,Marcq-en-Baroeul Airfield,Rouen Vallée de Seine Airport,Gare de Lille Flandres,Gare de Longuerue - Vieux-Manoir,Avion,50.687199,3.07556,49.384887,1.179142,198.26771985971553,79.90635910841995,,,airports,OurAirports
Gare de Lille Flandres,Gare de Poix-de-Picardie,Marcq-en-Baroeul Airfield,Poix de Picardie Airfield,Gare de Lille Flandres,Gare de Poix-de-Picardie,Avion,50.687199,3.07556,49.780278,2.001944,126.49200613631355,81.14907588032318,,,airports,OurAirports
Gare de Mantes-la-Jolie,Gare de Caen,Mantes-Chérence Airfield,Caen Carpiquet airport,Gare de Mantes-la-Jolie,Gare de Caen,Avion,49.078814,1.68829,49.17678,-0.454883,156.31858098241744,100.2838738756075,,,airports,OurAirports
Gare de Morannes,Gare de La Baule-Escoublac,Solib'Ailes Airfield,La Baule-Escoublac Airport,Gare de Morannes,Gare de La Baule-Escoublac,Avion,47.7775,-0.514167,47.289398,-2.34639,147.86859167234084,94.8629081983585,,,airports,OurAirports
Gare de Morannes,Gare de Le Croisic,Solib'Ailes Airfield,La Baule-Escoublac Airport,Gare de Morannes,Gare de Le Croisic,Avion,47.7775,-0.514167,47.289398,-2.34639,147.86859167234084,94.8629081983585,,,airports,OurAirports
Gare de Morgny,Gare de Arras,Rouen Vallée de Seine Airport,Arras-Roclincourt Airfield,Gare de Morgny,Gare de Arras,Avion,49.384887,1.179142,50.323898,2.80278,156.36181138510756,100.31160770113048,,,airports,OurAirports
Gare de Paris Montparnasse Hall 1 - 2,Gare de Connerré - Beillé,Vélizy-Villacoublay Air Base,Champ-Romet Airfield,Gare de Paris Montparnasse Hall 1 - 2,Gare de Connerré - Beillé,Avion,48.774406,2.203102,48.298611,0.453056,139.28496568128617,89.35620988474513,,,airports,OurAirports
Gare de Paris Montparnasse Hall 1 - 2,Gare de Sainte-Gauburge,Vélizy-Villacoublay Air Base,L'Aigle-Saint-Michel Airfield,Gare de Paris Montparnasse Hall 1 - 2,Gare de Sainte-Gauburge,Avion,48.774406,2.203102,48.758502,0.656632,113.355569881831,72.72158947250028,,,airports,OurAirports
Gare de Paris Montparnasse Hall 1 - 2,Gare de Surdon,Vélizy-Villacoublay Air Base,Argentan Airfield,Gare de Paris Montparnasse Hall 1 - 2,Gare de Surdon,Avion,48.774406,2.203102,48.709456,0.002856,161.4948634246227,103.60464132574845,,,airports,OurAirports
Gare de Sablé-sur-Sarthe,Gare de Le Croisic,Solib'Ailes Airfield,La Baule-Escoublac Airport,Gare de Sablé-sur-Sarthe,Gare de Le Croisic,Avion,47.7775,-0.514167,47.289398,-2.34639,147.86859167234084,94.8629081983585,,,airports,OurAirports
Gare de Saint-Piat,Gare de Le Mans,Bailleau Armenonville Airfield,Le Mans-Arnage Airport,Gare de Saint-Piat,Gare de Le Mans,Avion,48.5158,1.64,47.948604,0.201702,123.79876344878045,79.4212658637817,,,airports,OurAirports
Gare de Saint-Piat,Gare de Montfort-le-Gesnois,Bailleau Armenonville Airfield,Le Mans-Arnage Airport,Gare de Saint-Piat,Gare de Montfort-le-Gesnois,Avion,48.5158,1.64,47.948604,0.201702,123.79876344878045,79.4212658637817,,,airports,OurAirports
Gare de Sainte-Gauburge,Gare de Paris Montparnasse Vaugirard,L'Aigle-Saint-Michel Airfield,Vélizy-Villacoublay Air Base,Gare de Sainte-Gauburge,Gare de Paris Montparnasse Vaugirard,Avion,48.758502,0.656632,48.774406,2.203102,113.355569881831,72.72158947250028,,,airports,OurAirports
Gare de Saumur,Gare de La Baule-Escoublac,Aérodrome de Saumur - Saint-Florent,La Baule-Escoublac Airport,Gare de Saumur,Gare de La Baule-Escoublac,Avion,47.256802,-0.115142,47.289398,-2.34639,168.37261114321973,108.0169586614439,,,airports,OurAirports
Gare de Saumur,Gare de La Roche-sur-Yon,Aérodrome de Saumur - Saint-Florent,La Roche-sur-Yon Les Ajoncs Airport,Gare de Saumur,Gare de La Roche-sur-Yon,Avion,47.256802,-0.115142,46.7019,-1.37863,113.99348657453474,73.13083549272511,,,airports,OurAirports
Gare de Savenay,Gare de Onzain - Chaumont-sur-Loire,Campbon La Berthelière Airfield,Chouzy-sur-Cisse Airfield,Gare de Savenay,Gare de Onzain - Chaumont-sur-Loire,Avion,47.420833,-2.011944,47.506944,1.232778,244.088347619429,98.37310467311144,,,airports,OurAirports
Gare de Savonnières,Gare de Ancenis,Tours Sorigny Airfield,Ancenis Airfield,Gare de Savonnières,Gare de Ancenis,Avion,47.266071,0.698691,47.4081,-1.1775,142.25616408723428,91.26233828182302,,,airports,OurAirports
Gare de Surdon,Gare de Paris Montparnasse Vaugirard,Argentan Airfield,Vélizy-Villacoublay Air Base,Gare de Surdon,Gare de Paris Montparnasse Vaugirard,Avion,48.709456,0.002856,48.774406,2.203102,161.4948634246227,103.60464132574845,,,airports,OurAirports
Gare de Surdon,Gare de Tours,Argentan Airfield,Tours Val de Loire Airport,Gare de Surdon,Gare de Tours,Avion,48.709456,0.002856,47.432201,0.727606,151.88860361248982,97.44188740768026,,,airports,OurAirports
Gare de Tours,Gare de Surdon,Tours Val de Loire Airport,Argentan Airfield,Gare de Tours,Gare de Surdon,Avion,47.432201,0.727606,48.709456,0.002856,151.88860361248982,97.44188740768026,,,airports,OurAirports
Gare de Villedieu-les-Poêles,Gare de Surdon,Avranches Le Val-Saint-Père Airfield,Argentan Airfield,Gare de Villedieu-les-Poêles,Gare de Surdon,Avion,48.662255,-1.403685,48.709456,0.002856,103.38524497320077,66.32527497583553,,,airports,OurAirports
Gare de Angers Maître École,Gare de Le Pouliguen,Soulaire Airfield,La Baule-Escoublac Airport,Gare de Angers Maître École,Gare de Le Pouliguen,Avion,47.565556,-0.549722,47.289398,-2.34639,138.5969382144863,88.91481603847376,,,airports,OurAirports
Gare de Argentan,Gare de Tours,Argentan Airfield,Tours Val de Loire Airport,Gare de Argentan,Gare de Tours,Avion,48.709456,0.002856,47.432201,0.727606,151.88860361248982,97.44188740768026,,,airports,OurAirports
Gare de Arras,Gare de Montérolier - Buchy,Arras-Roclincourt Airfield,Pavilly Airfield,Gare de Arras,Gare de Montérolier - Buchy,Avion,50.323898,2.80278,49.601111,0.9875,152.7017545850677,97.96355238866548,,,airports,OurAirports
Gare de Brest,Gare de Lamballe,Brest Bretagne airport,Saint-Brieuc-Armor Airport,Gare de Brest,Gare de Lamballe,Avion,48.447899,-4.41854,48.538628,-2.853518,115.76449294965802,74.26699844174611,,,airports,OurAirports
Gare de Bréauté - Beuzeville,Gare de Paris Saint-Lazare,Havre-Saint-Romain-de-Colbosc Airfield,Paris-Le Bourget International Airport,Gare de Bréauté - Beuzeville,Gare de Paris Saint-Lazare,Avion,49.544676,0.360403,48.962276,2.436539,164.00222538192762,105.21320230875241,,,airports,OurAirports
Gare de Caen,Gare de Mantes-la-Jolie,Caen Carpiquet airport,Mantes-Chérence Airfield,Gare de Caen,Gare de Mantes-la-Jolie,Avion,49.17678,-0.454883,49.078814,1.68829,156.31858098241744,100.2838738756075,,,airports,OurAirports
Gare de Caen,Gare de Rouen Rive Droite,Caen Carpiquet airport,Rouen Vallée de Seine Airport,Gare de Caen,Gare de Rouen Rive Droite,Avion,49.17678,-0.454883,49.384887,1.179142,120.76442236509939,77.4746292156044,,,airports,OurAirports
Gare de Conlie,Gare de Noyal - Acigné,Assé le Riboul Airfield,La Baillée sous Champ Fleu Airfield,Gare de Conlie,Gare de Noyal - Acigné,Avion,48.195278,0.099444,48.1875,-1.496389,118.29612564047245,75.89112995489972,,,airports,OurAirports
Gare de Corbie,Gare de Rouen Rive Droite,Amiens Glisy Airfield,Rouen Vallée de Seine Airport,Gare de Corbie,Gare de Rouen Rive Droite,Avion,49.873004,2.387074,49.384887,1.179142,102.54119461978358,65.78378695403553,,,airports,OurAirports
Gare de La Loupe,Gare de Tiercé,Fontaine Simon Airfield,Aérodrome privé de Soucelles,Gare de La Loupe,Gare de Tiercé,Avion,48.506027,0.991064,47.580399,-0.412269,146.547199433211,94.01518854906095,,,airports,OurAirports
Gare de La Roche-sur-Yon,Gare de Montreuil-Bellay,La Roche-sur-Yon Les Ajoncs Airport,Cizay-la-Madeleine UL,Gare de La Roche-sur-Yon,Gare de Montreuil-Bellay,Avion,46.7019,-1.37863,47.17962,-0.15915,106.73646035430846,68.47519764335769,,,airports,OurAirports
Gare de La Suze,Gare de Pornichet,Le Mans-Arnage Airport,La Baule-Escoublac Airport,Gare de La Suze,Gare de Pornichet,Avion,47.948604,0.201702,47.289398,-2.34639,204.55488417657855,82.4402280106919,,,airports,OurAirports
Gare de Laval,Gare de La Baule les Pins,Laval-Entrammes Airport,La Baule-Escoublac Airport,Gare de Laval,Gare de La Baule les Pins,Avion,48.032208,-0.743999,47.289398,-2.34639,145.67844094811258,93.45784939078281,,,airports,OurAirports
Gare de Le Croisic,Gare de Mer,La Baule-Escoublac Airport,Beaugency Airfield,Gare de Le Croisic,Gare de Mer,Avion,47.289398,-2.34639,47.749467,1.578984,299.1453042035859,120.56229889667506,,,airports,OurAirports
Gare de Le Croisic,Gare de Tours,La Baule-Escoublac Airport,Tours Val de Loire Airport,Gare de Le Croisic,Gare de Tours,Avion,47.289398,-2.34639,47.432201,0.727606,232.0655244716036,93.52763600767815,,,airports,OurAirports
Gare de Le Mans,Gare de Vitré,Le Mans-Arnage Airport,Moulins le Haut Bois Airfield,Gare de Le Mans,Gare de Vitré,Avion,47.948604,0.201702,48.001667,-1.352222,115.82217641905231,74.30400441847063,,,airports,OurAirports
Gare de Lille Flandres,Gare de Morgny,Marcq-en-Baroeul Airfield,Rouen Vallée de Seine Airport,Gare de Lille Flandres,Gare de Morgny,Avion,50.687199,3.07556,49.384887,1.179142,198.26771985971553,79.90635910841995,,,airports,OurAirports
Gare de Lorient,Gare de Pontchâteau,Lorient South Brittany (Bretagne Sud) Airport,Campbon La Berthelière Airfield,Gare de Lorient,Gare de Pontchâteau,Avion,47.760601,-3.44,47.420833,-2.011944,113.55986501943998,72.85265199676722,,,airports,OurAirports
Gare de Meung-sur-Loire,Gare de Ancenis,Cravant Les Lilas Airfield,Ancenis Airfield,Gare de Meung-sur-Loire,Gare de Ancenis,Avion,47.836706,1.617899,47.4081,-1.1775,214.8455924355438,86.5876153423396,,,airports,OurAirports
Gare de Montville,Gare de Paris Saint-Lazare,Pavilly Airfield,Paris-Le Bourget International Airport,Gare de Montville,Gare de Paris Saint-Lazare,Avion,49.601111,0.9875,48.962276,2.436539,126.85804689361444,81.38390391489077,,,airports,OurAirports
Gare de Nantes,Gare de Amboise,Nantes Atlantique Airport,Amboise Dierre Airfield,Gare de Nantes,Gare de Amboise,Avion,47.153198,-1.61073,47.339771,0.945861,194.08519680614938,78.22070806379215,,,airports,OurAirports
Gare de Orléans,Gare de Saint-Nazaire,Mardié Airfield,Saint-Nazaire-Montoir Airport,Gare de Orléans,Gare de Saint-Nazaire,Avion,47.903611,2.067778,47.31142,-2.152634,323.1318706579684,103.39218607371261,,,airports,OurAirports
Gare de Paris Montparnasse Hall 1 - 2,Gare de Argentan,Vélizy-Villacoublay Air Base,Argentan Airfield,Gare de Paris Montparnasse Hall 1 - 2,Gare de Argentan,Avion,48.774406,2.203102,48.709456,0.002856,161.4948634246227,103.60464132574845,,,airports,OurAirports
Gare de Paris Montparnasse Vaugirard,Gare de Briouze,Vélizy-Villacoublay Air Base,Aérodrome de Flers Saint-Paul,Gare de Paris Montparnasse Vaugirard,Gare de Briouze,Avion,48.774406,2.203102,48.749964,-0.593927,205.0234859119462,82.62908507008417,,,airports,OurAirports
Gare de Quimper,Gare de Vannes,Quimper-Cornouaille Airport,Vannes-Meucon Airport,Gare de Quimper,Gare de Vannes,Avion,47.973031,-4.169655,47.723301,-2.71856,111.78646637062347,71.71495431993702,,,airports,OurAirports
Gare de Rennes,Gare de Morlaix,Rennes-Saint-Jacques Airport,Morlaix-Ploujean Airport,Gare de Rennes,Gare de Morlaix,Avion,48.0695,-1.73479,48.6031990051,-3.81577992439,164.8654736707109,105.7670064820734,,,airports,OurAirports
Gare de Rennes,Gare de Plouaret Trégor,Rennes-Saint-Jacques Airport,Lannion Airport,Gare de Rennes,Gare de Plouaret Trégor,Avion,48.0695,-1.73479,48.754398,-3.47166,149.10450117375737,95.65578766145738,,,airports,OurAirports
Gare de Sablé-sur-Sarthe,Gare de La Baule les Pins,Solib'Ailes Airfield,La Baule-Escoublac Airport,Gare de Sablé-sur-Sarthe,Gare de La Baule les Pins,Avion,47.7775,-0.514167,47.289398,-2.34639,147.86859167234084,94.8629081983585,,,airports,OurAirports
Gare de Saint-Pierre-sur-Dives,Gare de Château-du-Loir,Rouvres Airfield,Saint-Pierre-de-Chevillé Airfield,Gare de Saint-Pierre-sur-Dives,Gare de Château-du-Loir,Avion,49.02,-0.198333,47.633333,0.452222,161.51589691278033,103.61813504901735,,,airports,OurAirports
Gare de Tiercé,Gare de La Baule les Pins,Aérodrome privé de Soucelles,La Baule-Escoublac Airport,Gare de Tiercé,Gare de La Baule les Pins,Avion,47.580399,-0.412269,47.289398,-2.34639,149.02635201568273,95.6056522248216,,,airports,OurAirports
Gare de Tours,Gare de Le Croisic,Tours Val de Loire Airport,La Baule-Escoublac Airport,Gare de Tours,Gare de Le Croisic,Avion,47.432201,0.727606,47.289398,-2.34639,232.0655244716036,93.52763600767815,,,airports,OurAirports
Gare de Versailles Chantiers,Gare de Folligny,Saint-Cyr-l'École Airport,Granville Airport,Gare de Versailles Chantiers,Gare de Folligny,Avion,48.812459,2.067533,48.883099,-1.56417,265.83384865442105,107.1370316296732,,,airports,OurAirports
Gare de Versailles Chantiers,Gare de Surdon,Saint-Cyr-l'École Airport,Argentan Airfield,Gare de Versailles Chantiers,Gare de Surdon,Avion,48.812459,2.067533,48.709456,0.002856,151.7687184905561,97.36497688065268,,,airports,OurAirports
Gare de Vitré,Gare de La Baule les Pins,Moulins le Haut Bois Airfield,La Baule-Escoublac Airport,Gare de Vitré,Gare de La Baule les Pins,Avion,48.001667,-1.352222,47.289398,-2.34639,108.71588505831791,69.74506828903272,,,airports,OurAirports
Gare de Albert,Gare de Longuerue - Vieux-Manoir,La Boisselle Airfield,Rouen Vallée de Seine Airport,Gare de Albert,Gare de Longuerue - Vieux-Manoir,Avion,50.015803,2.688594,49.384887,1.179142,129.25029768056874,82.91861702890458,,,airports,OurAirports
Gare de Ancenis,Gare de Orléans,Ancenis Airfield,Mardié Airfield,Gare de Ancenis,Gare de Orléans,Avion,47.4081,-1.1775,47.903611,2.067778,249.2136842522211,100.43873083667052,,,airports,OurAirports
Gare de Angers Saint-Laud,Gare de Savenay,Soulaire Airfield,Campbon La Berthelière Airfield,Gare de Angers Saint-Laud,Gare de Savenay,Avion,47.565556,-0.549722,47.420833,-2.011944,111.0302148352589,71.22979233142547,,,airports,OurAirports
Gare de Beaugency,Gare de La Baule-Escoublac,Beaugency Airfield,La Baule-Escoublac Airport,Gare de Beaugency,Gare de La Baule-Escoublac,Avion,47.749467,1.578984,47.289398,-2.34639,299.1453042035859,120.56229889667506,,,airports,OurAirports
Gare de Blois - Chambord,Gare de La Baule-Escoublac,Chouzy-sur-Cisse Airfield,La Baule-Escoublac Airport,Gare de Blois - Chambord,Gare de La Baule-Escoublac,Avion,47.506944,1.232778,47.289398,-2.34639,270.4555516033589,108.99968206914752,,,airports,OurAirports
Gare de Blois - Chambord,Gare de Le Pouliguen,Chouzy-sur-Cisse Airfield,La Baule-Escoublac Airport,Gare de Blois - Chambord,Gare de Le Pouliguen,Avion,47.506944,1.232778,47.289398,-2.34639,270.4555516033589,108.99968206914752,,,airports,OurAirports
Gare de Caen,Gare de Rennes,Caen Carpiquet airport,Rennes-Saint-Jacques Airport,Gare de Caen,Gare de Rennes,Avion,49.17678,-0.454883,48.0695,-1.73479,154.94486891600232,99.40258921485902,,,airports,OurAirports
Gare de Château-du-Loir,Gare de Surdon,Saint-Pierre-de-Chevillé Airfield,Argentan Airfield,Gare de Château-du-Loir,Gare de Surdon,Avion,47.633333,0.452222,48.709456,0.002856,124.21217759339369,79.68648559438716,,,airports,OurAirports
Gare de Courville-sur-Eure,Gare de Sablé-sur-Sarthe,Loulappe Airfield,Solib'Ailes Airfield,Gare de Courville-sur-Eure,Gare de Sablé-sur-Sarthe,Avion,48.438333,1.274444,47.7775,-0.514167,151.76924499907105,97.36531465440403,,,airports,OurAirports
Gare de Folligny,Gare de Argentan,Granville Airport,Argentan Airfield,Gare de Folligny,Gare de Argentan,Avion,48.883099,-1.56417,48.709456,0.002856,116.39252773821963,74.66990487250939,,,airports,OurAirports
